window,entry,exit,Symbol,Total Return [%],Sharpe Ratio,Max Drawdown [%]
10,25,70,AAPL,-45.59829394755709,0.11941966979617331,88.56614912434611
10,25,75,AAPL,-49.32953886117661,0.08989861529393704,88.77521574572226
10,30,70,AAPL,-66.70039321833214,-0.12150330499065311,88.5661491243461
10,30,75,AAPL,-68.8416096170404,-0.1463761060484511,88.77521574572224
14,25,70,AAPL,-66.99521055802539,0.48890196016502246,97.57476018749722
14,25,75,AAPL,-26.439061264214104,0.11022084542446071,71.35827794402172
14,30,70,AAPL,-75.98812688192204,0.3578743306297846,97.57476018749723
14,30,75,AAPL,-41.600130909860624,-0.10905067169500364,71.35827794402172
20,25,70,AAPL,-75.16436733226914,0.27187332762160826,96.1872890443242
20,25,75,AAPL,-58.530668035637234,-0.06897949241563714,83.53252572514856
20,30,70,AAPL,-75.48626804128212,0.2793265681145458,96.2478228464799
20,30,75,AAPL,-41.90352022375153,0.14190065675249708,83.64665217662831
30,25,70,AAPL,-70.54576694551652,0.6025947264435949,137.2660035890322
30,25,75,AAPL,-62.38264153292875,-1.0521306167076188,125.88286114170211
30,30,70,AAPL,-88.02473834459991,0.2506370399581933,137.2660035890322
30,30,75,AAPL,-79.86161293201218,-1.1102149784482207,125.88286114170211
